,,,,,,,,,,,
,Name[s],Jessica Stander,,,,,,,,,
,10,6:12,35,,10,6:18,27,,10,6:23,38
,11,6:12,30,,11,6:18,20,,11,6:23,28
,12,6:12,32,,12,6:18,25,,12,6:23,29
,13,6:12,36,,13,6:18,32,,13,6:23,31
,14,6:12,31,,14,6:18,34,,14,6:23,36
,15,6:12,32,,15,6:18,27,,15,6:24,34
,16,6:12,32,,16,6:18,38,,16,6:24,27
,17,6:12,38,,17,6:18,41,,17,6:24,30
,18,6:12,30,,18,6:18,40,,18,6:24,36
,19,6:12,38,,19,6:18,36,,19,6:24,44
,20,6:12,35,,20,6:18,31,,20,6:24,55
,21,6:12,35,,21,6:18,28,,21,6:24,50
,22,6:12,26,,22,6:19,26,,22,6:24,46
,23,6:12,30,,23,6:19,27,,23,6:24,34
,24,6:12,35,,24,6:19,30,,24,6:24,35
,25,6:12,34,,25,6:19,31,,25,6:24,35
,26,6:12,38,,26,6:19,26,,26,6:26,36
,27,6:12,34,,27,6:19,37,,27,6:26,34
,28,6:14,24,,28,6:19,34,,28,6:26,30
,29,6:14,31,,29,6:19,30,,29,6:26,35
,30,6:14,34,,30,6:20,27,,30,6:26,30
,31,6:14,26,,31,6:20,40,,31,6:26,32
,32,6:14,25,,32,6:20,37,,32,6:26,44
,33,6:14,40,,33,6:20,36,,33,6:26,30
,34,6:14,27,,34,6:20,38,,34,6:26,36
,35,6:14,29,,35,6:20,44,,35,6:26,42
,36,6:14,28,,36,6:20,40,,36,6:26,38
,37,6:14,39,,37,6:20,44,,37,6:26,35
,38,6:14,44,,38,6:20,41,,38,6:26,34
,39,6:14,35,,39,6:20,38,,39,6:26,37
,40,6:14,23,,40,6:20,28,,40,6:26,36
,41,6:15,28,,41,6:22,25,,41,6:26,38
,42,6:15,34,,42,6:22,28,,42,6:27,30
,43,6:15,33,,43,6:22,26,,43,6:27,33
,44,6:15,34,,44,6:22,24,,44,6:27,35
,45,6:15,41,,45,6:22,25,,45,6:27,35
,46,6:15,37,,46,6:22,36,,46,6:27,32
,47,6:15,41,,47,6:22,30,,47,6:27,30
,48,6:17,27,,48,6:22,34,,48,6:27,57
,49,6:17,36,,49,6:22,30,,49,6:27,54
,50,6:17,37,,50,6:22,28,,50,6:27,40
,,,,,,,,,,,
,,,,,,,,,,,
,Vehicle,Time,Speed,,Vehicle,Time,,,Vehicle,Time,Speed
,1,6:27,42,,1,6:35,32,,1,6:42,31
,2,6:29,42,,2,6:35,35,,2,6:42,33
,3,6:29,27,,3,6:35,26,,3,6:42,31
,4,6:29,29,,4,6:35,24,,4,6:42,32
,5,6:29,32,,5,6:35,25,,5,6:42,30
,6,6:29,28,,6,6:35,22,,6,6:42,35
,7,6:29,27,,7,6:35,25,,7,6:43,23
,8,6:29,29,,8,6:35,26,,8,6:43,31
,9,6:29,32,,9,6:35,34,,9,6:44,27
,10,6:29,30,,10,6:35,37,,10,6:44,25
,11,6:29,29,,11,6:35,36,,11,6:44,31
,12,6:29,35,,12,6:37,38,,12,6:44,24
,13,6:29,36,,13,6:37,36,,13,6:44,31
,14,6:29,35,,14,6:37,42,,14,6:44,27
,15,6:29,38,,15,6:37,53,,15,6:44,32
,16,6:29,38,,16,6:37,38,,16,6:44,33
,17,6:29,35,,17,6:37,40,,17,6:44,33
,18,6:29,38,,18,6:37,37,,18,6:44,31
,19,6:29,42,,19,6:37,27,,19,6:44,34
,20,6:29,28,,20,6:37,31,,20,6:44,42
,21,6:29,23,,21,6:39,28,,21,6:44,40
,22,6:31,23,,22,6:39,20,,22,6:44,38
,23,6:31,27,,23,6:39,33,,23,6:44,37
,24,6:31,33,,24,6:39,34,,24,6:44,42
,25,6:31,35,,25,6:39,37,,25,6:44,44
,26,6:31,36,,26,6:39,26,,26,6:44,40
,27,6:31,44,,27,6:41,28,,27,6:44,38
,28,6:31,32,,28,6:41,29,,28,6:45,24
,29,6:33,53,,29,6:41,32,,29,6:45,31
,30,6:33,41,,30,6:41,31,,30,6:45,25
,31,6:33,38,,31,6:41,27,,31,6:45,30
,32,6:33,36,,32,6:41,21,,32,6:46,28
,33,6:33,38,,33,6:41,26,,33,6:46,32
,34,6:33,40,,34,6:41,27,,34,6:46,32
,35,6:33,42,,35,6:41,22,,35,6:46,32
,36,6:33,32,,36,6:41,30,,36,6:46,28
,37,6:33,41,,37,6:41,32,,37,6:46,29
,38,6:34,31,,38,6:41,37,,38,6:46,32
,39,6:34,27,,39,6:41,33,,39,6:46,27
,40,6:34,28,,40,6:41,35,,40,6:46,45
,41,6:34,29,,41,6:41,34,,41,6:46,43
,42,6:34,28,,42,6:41,28,,42,6:46,46
,43,6:34,40,,43,6:41,26,,43,6:46,44
,44,6:34,29,,44,6:42,37,,44,6:46,34
,45,6:34,41,,45,6:42,26,,45,6:46,39
,46,6:34,39,,46,6:42,36,,46,6:46,42
,47,6:34,41,,47,6:42,35,,47,6:46,48
,48,6:34,27,,48,6:42,37,,48,6:46,44
,49,6:34,29,,49,6:42,36,,49,6:46,45
,50,6:34,31,,50,6:42,29,,50,6:46,38
,,,,,,,,,,,
,,,,,,,,,,,
,Vehicle,Time,Speed,,Vehicle,Time,,,Vehicle,Time,Speed
,1,6:47,24,,1,6:52,48,,1,6:58,30
,2,6:47,27,,2,6:52,52,,2,6:58,29
,3,6:47,30,,3,6:52,53,,3,6:58,28
,4,6:48,37,,4,6:53,49,,4,6:58,31
,5,6:48,41,,5,6:53,54,,5,6:58,33
,6,6:48,35,,6,6:53,52,,6,6:59,27
,7,6:48,31,,7,6:53,38,,7,6:59,26
,8,6:48,42,,8,6:54,39,,8,6:59,36
,9,6:48,43,,9,6:54,38,,9,6:59,36
,10,6:48,33,,10,6:54,29,,10,6:59,32
,11,6:48,31,,11,6:54,34,,11,6:59,33
,12,6:50,35,,12,6:54,33,,12,6:59,36
,13,6:50,33,,13,6:54,45,,13,,
,14,6:50,42,,14,6:54,44,,14,,
,15,6:50,29,,15,6:54,30,,15,,
,16,6:50,30,,16,6:54,31,,16,,
,17,6:50,31,,17,6:54,31,,17,,
,18,6:50,27,,18,6:54,32,,18,,
,19,6:50,28,,19,6:54,42,,19,,
,20,6:50,32,,20,6:54,37,,20,,
,21,6:50,34,,21,6:54,40,,21,,
,22,6:50,29,,22,6:54,39,,22,,
,23,6:50,41,,23,6:55,39,,23,,
,24,6:50,40,,24,6:55,29,,24,,
,25,6:50,42,,25,6:55,31,,25,,
,26,6:50,34,,26,6:55,38,,26,,
,27,6:50,35,,27,6:55,35,,27,,
,28,6:50,41,,28,6:55,38,,28,,
,29,6:51,36,,29,6:55,26,,29,,
,30,6:51,33,,30,6:55,44,,30,,
,31,6:52,28,,31,6:55,38,,31,,
,32,6:52,26,,32,6:55,36,,32,,
,33,6:52,27,,33,6:56,25,,33,,
,34,6:52,25,,34,6:56,32,,34,,
,35,6:52,25,,35,6:56,24,,35,,
,36,6:52,30,,36,6:56,28,,36,,
,37,6:52,31,,37,6:56,35,,37,,
,38,6:52,39,,38,6:56,27,,38,,
,39,6:52,41,,39,6:56,27,,39,,
,40,6:52,30,,40,6:56,26,,40,,
,41,6:52,32,,41,6:56,28,,41,,
,42,6:52,44,,42,6:56,29,,42,,
,43,6:52,40,,43,6:56,28,,43,,
,44,6:52,39,,44,6:58,22,,44,,
,45,6:52,32,,45,6:58,32,,45,,
,46,6:52,36,,46,6:58,31,,46,,
,47,6:52,33,,47,6:58,30,,47,,
,48,6:52,24,,48,6:58,32,,48,,
,49,6:52,40,,49,6:58,28,,49,,
,50,6:52,51,,50,6:58,27,,50,,
