,,,,,,,,,,,
,Name[s],Jessica Stander,,,,,,,,,
,Date,8/18/2015,,,,,,,,,
,Location,Rogers Ave & Midwood St,,,,,,,,,
,Direction,North,,,,,,,,,
,Weather,partly cloudy,,,,,,,,,
,Speed Limit,25,,,,,,,,,
,,,,,,,,,,,
,Vehicle,Time,Speed,,Vehicle,Time,Speed,,Vehicle,Time,Speed
,1,5:52,33,,1,5:58,28,,1,6:04,45
,2,5:52,35,,2,5:58,25,,2,6:04,35
,3,5:52,41,,3,5:58,34,,3,6:04,34
,4,5:52,42,,4,5:58,26,,4,6:04,40
,5,5:52,43,,5,5:58,28,,5,6:04,27
,6,5:52,32,,6,5:58,53,,6,6:04,35
,7,5:53,23,,7,5:58,47,,7,6:04,28
,8,5:53,23,,8,5:58,45,,8,6:05,29
,9,5:53,33,,9,5:58,38,,9,6:05,34
,10,5:53,34,,10,5:58,51,,10,6:05,36
,11,5:53,24,,11,5:58,48,,11,6:05,38
,12,5:53,51,,12,5:58,30,,12,6:05,34
,13,5:53,38,,13,6:00,18,,13,6:05,36
,14,5:53,44,,14,6:00,32,,14,6:05,35
,15,5:53,43,,15,6:00,45,,15,6:05,47
,16,5:53,41,,16,6:00,52,,16,6:05,40
,17,5:53,47,,17,6:00,25,,17,6:05,42
,18,5:53,35,,18,6:00,25,,18,6:05,48
,19,5:53,40,,19,6:00,40,,19,6:05,44
,20,5:53,42,,20,6:00,47,,20,6:05,32
,21,5:53,30,,21,6:00,40,,21,6:05,38
,22,5:54,33,,22,6:00,40,,22,6:05,44
,23,5:54,31,,23,6:00,38,,23,6:05,47
,24,5:54,30,,24,6:01,30,,24,6:05,27
,25,5:54,48,,25,6:01,34,,25,6:06,24
,26,5:54,28,,26,6:02,28,,26,6:06,25
,27,5:54,25,,27,6:02,25,,27,6:06,28
,28,5:54,39,,28,6:02,27,,28,6:06,27
,29,5:54,28,,29,6:02,28,,29,6:06,26
,30,5:54,34,,30,6:03,25,,30,6:06,37
,31,5:54,36,,31,6:03,32,,31,6:06,37
,32,5:54,40,,32,6:03,26,,32,6:06,52
,33,5:54,25,,33,6:03,50,,33,6:06,47
,34,5:56,23,,34,6:03,38,,34,6:07,33
,35,5:56,38,,35,6:03,36,,35,6:07,35
,36,5:56,33,,36,6:03,38,,36,6:07,48
,37,5:56,30,,37,6:03,48,,37,6:07,50
,38,5:56,48,,38,6:03,54,,38,6:07,47
,39,5:56,35,,39,6:03,40,,39,6:07,35
,40,5:56,30,,40,6:03,37,,40,6:07,38
,41,5:56,51,,41,6:03,38,,41,6:07,36
,42,5:56,52,,42,6:03,48,,42,6:07,48
,43,5:57,44,,43,6:03,36,,43,6:10,25
,44,5:57,29,,44,6:04,40,,44,6:10,29
,45,5:57,22,,45,6:04,45,,45,6:10,30
,46,5:57,25,,46,6:04,46,,46,6:10,26
,47,5:57,30,,47,6:04,48,,47,6:10,25
,48,5:57,24,,48,6:04,54,,48,6:10,36
,49,5:57,30,,49,6:04,50,,49,6:10,38
,50,5:57,22,,50,6:04,48,,50,6:11,25
,,,,,,,,,,,
,,,,,,,,,,,
,Vehicle,Time,Speed,,Vehicle,Time,,,Vehicle,Time,Speed
,1,6:11,30,,1,6:17,27,,1,6:22,34
,2,6:11,38,,2,6:17,36,,2,6:22,35
,3,6:11,39,,3,6:17,37,,3,6:22,42
,4,6:11,42,,4,6:17,26,,4,6:22,34
,5,6:11,29,,5,6:17,41,,5,6:22,28
,6,6:11,28,,6,6:17,38,,6,6:22,43
,7,6:11,35,,7,6:17,29,,7,6:22,40
,8,6:11,27,,8,6:18,26,,8,6:23,23
,9,6:12,34,,9,6:18,25,,9,6:23,37
