,,,,,,,,,,,
,Name[s],Jessica,,,,,,,,,
,Date,8/24/2015,,,,,,,,,
,Location,Rogers Ave & Midwood St,,,,,,,,,
,Direction,North,,,,,,,,,
,Weather,Clear,,,,,,,,,
,Speed Limit,25,,,,,,,,,
,,,,,,,,,,,
,Vehicle,Time,Speed,,Vehicle,Time,Speed,,Vehicle,Time,Speed
,1,5:57,37,,1,6:06,30,,1,6:17,44
,2,5:57,42,,2,6:07,27,,2,6:17,42
,3,5:57,41,,3,6:07,50,,3,6:17,26
,4,5:57,37,,4,6:07,45,,4,6:18,20
,5,5:57,37,,5,6:07,45,,5,6:18,26
,6,5:57,59,,6,6:07,44,,6,6:18,31
,7,5:57,38,,7,6:07,40,,7,6:18,33
,8,5:57,45,,8,6:07,33,,8,6:18,39
,9,5:57,36,,9,6:07,31,,9,6:18,40
,10,5:57,30,,10,6:08,29,,10,6:19,37
,11,5:58,21,,11,6:08,24,,11,6:19,49
,12,5:58,28,,12,6:08,33,,12,6:19,49
,13,5:58,30,,13,6:08,31,,13,6:19,45
,14,5:58,33,,14,6:08,32,,14,6:19,32
,15,5:58,35,,15,6:08,49,,15,6:19,29
,16,5:58,54,,16,6:08,39,,16,6:20,25
,17,5:59,45,,17,6:08,45,,17,6:20,36
,18,5:59,38,,18,6:10,42,,18,6:20,36
,19,5:59,36,,19,6:10,20,,19,6:20,42
,20,6:00,29,,20,6:10,25,,20,6:20,38
,21,6:00,28,,21,6:10,32,,21,6:21,42
,22,6:00,35,,22,6:10,39,,22,6:21,43
,23,6:00,38,,23,6:10,35,,23,6:21,46
,24,6:00,47,,24,6:10,33,,24,6:22,21
,25,6:00,49,,25,6:11,29,,25,6:22,25
,26,6:01,47,,26,6:11,37,,26,6:22,32
,27,6:01,37,,27,6:11,36,,27,6:22,35
,28,6:01,36,,28,6:12,34,,28,6:22,36
,29,6:01,38,,29,6:12,38,,29,6:23,32
,30,6:01,42,,30,6:12,41,,30,6:23,37
,31,6:02,22,,31,6:13,46,,31,6:23,26
,32,6:02,32,,32,6:13,48,,32,6:23,32
,33,6:02,33,,33,6:13,37,,33,6:23,43
,34,6:02,30,,34,6:13,49,,34,6:23,41
,35,6:03,35,,35,6:13,41,,35,6:23,42
,36,6:03,46,,36,6:14,23,,36,6:24,16
,37,6:03,49,,37,6:14,30,,37,6:24,30
,38,6:03,36,,38,6:14,39,,38,6:24,34
,39,6:03,51,,39,6:14,36,,39,6:24,26
,40,6:04,32,,40,6:15,45,,40,6:24,35
,41,6:04,24,,41,6:15,32,,41,6:24,35
,42,6:04,28,,42,6:15,40,,42,6:24,43
,43,6:04,40,,43,6:15,38,,43,6:25,38
,44,6:04,44,,44,6:15,35,,44,6:25,44
,45,6:05,42,,45,6:15,35,,45,6:25,38
,46,6:05,48,,46,6:16,22,,46,6:25,42
,47,6:05,52,,47,6:16,47,,47,6:25,39
,48,6:05,49,,48,6:16,36,,48,6:26,49
,49,6:05,41,,49,6:16,41,,49,6:26,33
,50,6:06,29,,50,6:16,33,,50,6:26,34
,,,,,,,,,,,
,,,,,,,,,,,
,Vehicle,Time,Speed,,Vehicle,Time,Speed,,Vehicle,Time,Speed
,1,6:27,38,,1,6:37,30,,1,6:48,18
,2,6:27,43,,2,6:37,48,,2,6:48,22
,3,6:27,43,,3,6:37,36,,3,6:48,32
,4,6:27,43,,4,6:37,33,,4,6:48,33
,5,6:27,42,,5,6:38,26,,5,6:48,33
,6,6:28,27,,6,6:38,30,,6,6:49,28
,7,6:28,31,,7,6:38,43,,7,6:49,35
,8,6:28,38,,8,6:38,35,,8,6:49,33
,9,6:28,34,,9,6:39,38,,9,6:49,39
,10,6:29,45,,10,6:39,32,,10,6:50,30
,11,6:29,40,,11,6:39,47,,11,6:50,33
,12,6:29,22,,12,6:39,29,,12,6:50,33
,13,6:29,31,,13,6:40,19,,13,6:50,38
,14,6:29,36,,14,6:40,26,,14,6:50,32
,15,6:29,36,,15,6:40,32,,15,6:51,35
,16,6:29,30,,16,6:40,44,,16,6:51,35
,17,6:29,35,,17,6:41,34,,17,6:51,31
,18,6:31,36,,18,6:41,37,,18,6:51,47
,19,6:31,30,,19,6:41,42,,19,6:51,40
,20,6:31,45,,20,6:41,46,,20,6:51,35
,21,6:31,40,,21,6:41,41,,21,6:52,41
,22,6:31,36,,22,6:41,37,,22,6:52,38
,23,6:31,51,,23,6:42,29,,23,6:52,40
,24,6:31,28,,24,6:42,30,,24,6:52,32
,25,6:31,34,,25,6:42,26,,25,6:53,37
,26,6:32,24,,26,6:43,23,,26,6:53,43
,27,6:32,30,,27,6:43,27,,27,6:53,40
,28,6:32,34,,28,6:43,35,,28,6:53,38
,29,6:32,41,,29,6:43,28,,29,6:53,33
,30,6:33,29,,30,6:44,29,,30,6:54,25
,31,6:33,47,,31,6:44,30,,31,6:54,37
,32,6:33,50,,32,6:44,19,,32,6:54,26
,33,6:33,54,,33,6:44,21,,33,6:55,34
,34,6:33,46,,34,6:44,25,,34,6:55,35
,35,6:33,42,,35,6:45,23,,35,6:55,38
,36,6:33,45,,36,6:45,40,,36,6:55,44
,37,6:33,46,,37,6:45,39,,37,6:55,44
,38,6:34,26,,38,6:45,37,,38,6:55,25
,39,6:34,30,,39,6:45,46,,39,6:56,17
,40,6:34,34,,40,6:45,34,,40,6:56,25
,41,6:34,31,,41,6:46,20,,41,6:56,28
,42,6:35,29,,42,6:46,32,,42,6:56,34
,43,6:35,33,,43,6:46,34,,43,6:56,27
,44,6:35,43,,44,6:46,34,,44,6:56,29
,45,6:35,38,,45,6:46,43,,45,6:57,38
,46,6:35,38,,46,6:47,30,,46,6:57,43
,47,6:36,25,,47,6:47,30,,47,6:57,39
,48,6:36,32,,48,6:47,43,,48,6:58,29
,49,6:36,36,,49,6:47,50,,49,6:58,35
,50,6:36,44,,50,6:47,39,,50,6:58,26
,,,,,,,,,,,
,,,,,,,,,,,
,Vehicle,Time,Speed,,Vehicle,Time,Speed,,Vehicle,Time,Speed
,1,6:58,38,,1,,,,1,,
,2,6:58,44,,2,,,,2,,
,3,,,,3,,,,3,,
,4,,,,4,,,,4,,
,5,,,,5,,,,5,,
,6,,,,6,,,,6,,
,7,,,,7,,,,7,,
,8,,,,8,,,,8,,
,9,,,,9,,,,9,,
,10,,,,10,,,,10,,
,11,,,,11,,,,11,,
,12,,,,12,,,,12,,
,13,,,,13,,,,13,,
,14,,,,14,,,,14,,
,15,,,,15,,,,15,,
,16,,,,16,,,,16,,
,17,,,,17,,,,17,,
,18,,,,18,,,,18,,
,19,,,,19,,,,19,,
,20,,,,20,,,,20,,
,21,,,,21,,,,21,,
,22,,,,22,,,,22,,
,23,,,,23,,,,23,,
,24,,,,24,,,,24,,
,25,,,,25,,,,25,,
,26,,,,26,,,,26,,
,27,,,,27,,,,27,,
,28,,,,28,,,,28,,
,29,,,,29,,,,29,,
,30,,,,30,,,,30,,
,31,,,,31,,,,31,,
,32,,,,32,,,,32,,
,33,,,,33,,,,33,,
,34,,,,34,,,,34,,
,35,,,,35,,,,35,,
,36,,,,36,,,,36,,
,37,,,,37,,,,37,,
,38,,,,38,,,,38,,
,39,,,,39,,,,39,,
,40,,,,40,,,,40,,
,41,,,,41,,,,41,,
,42,,,,42,,,,42,,
,43,,,,43,,,,43,,
,44,,,,44,,,,44,,
,45,,,,45,,,,45,,
,46,,,,46,,,,46,,
,47,,,,47,,,,47,,
,48,,,,48,,,,48,,
,49,,,,49,,,,49,,
,50,,,,50,,,,50,,
